Type,Air Temperature [°C],Process Temperature [°C],Rotational Speed [rpm],Torque [Nm],Tool Wear [min],Failure Type,DateTime,Failure Type Prediction,RUL_Power Failure,RUL_Tool Wear Failure,RUL_Overstrain Failure,RUL_Heat Dissipation Failure
L,31.650000000000034,40.75,1573.0,34.6,14.0,No Failure,2022-01-07 22:24:00,No Failure,48,432,264,24
L,24.75,35.650000000000034,1466.0,45.7,153.0,No Failure,2022-01-02 11:34:00,No Failure,46,430,262,22
H,27.05000000000001,36.75,1712.0,26.4,95.0,No Failure,2022-01-04 12:44:00,No Failure,44,428,260,20
L,28.55000000000001,37.450000000000045,1733.0,24.8,85.0,No Failure,2022-01-05 00:28:00,No Failure,42,426,258,18
L,25.05000000000001,36.450000000000045,1636.0,31.3,192.0,No Failure,2022-01-02 17:20:00,No Failure,40,424,256,16
M,24.75,35.85000000000002,1497.0,44.8,57.0,No Failure,2022-01-02 02:10:00,No Failure,38,422,254,14
H,28.350000000000023,39.450000000000045,1506.0,36.2,10.0,No Failure,2022-01-11 16:24:00,No Failure,36,420,252,12
L,25.950000000000045,37.85000000000002,1534.0,33.7,47.0,No Failure,2022-01-01 20:20:00,No Failure,34,418,250,10
L,26.950000000000045,36.25,1543.0,37.9,130.0,No Failure,2022-01-04 07:32:00,No Failure,32,416,248,8
L,29.150000000000034,39.05000000000001,1668.0,30.1,18.0,No Failure,2022-01-09 02:30:00,No Failure,30,414,246,6
M,31.350000000000023,40.150000000000034,1532.0,41.7,32.0,No Failure,2022-01-07 19:48:00,No Failure,28,412,244,4
L,25.25,36.25,1664.0,28.1,67.0,No Failure,2022-01-13 13:32:00,No Failure,26,410,242,2
L,30.350000000000023,38.75,1330.0,56.9,97.0,Heat Dissipation Failure,2022-01-06 21:38:00,Heat Dissipation Failure,24,408,240,150
M,27.05000000000001,38.650000000000034,1502.0,39.8,177.0,No Failure,2022-01-12 11:36:00,No Failure,22,406,238,148
M,26.650000000000034,36.55000000000001,1446.0,45.5,49.0,No Failure,2022-01-04 12:08:00,No Failure,20,404,236,146
L,29.55000000000001,37.950000000000045,1424.0,50.2,54.0,No Failure,2022-01-06 18:04:00,No Failure,18,402,234,144
M,31.850000000000023,40.85000000000002,1454.0,46.8,30.0,No Failure,2022-01-08 01:06:00,No Failure,16,400,232,142
L,31.150000000000034,40.05000000000001,1457.0,40.7,48.0,No Failure,2022-01-07 19:56:00,No Failure,14,398,230,140
L,27.950000000000045,37.450000000000045,1642.0,34.5,53.0,No Failure,2022-01-05 08:18:00,No Failure,12,396,228,138
M,30.75,40.450000000000045,1394.0,46.4,82.0,No Failure,2022-01-08 13:14:00,No Failure,10,394,226,136
L,24.350000000000023,35.150000000000034,1579.0,34.5,166.0,No Failure,2022-01-02 03:38:00,No Failure,8,392,224,134
L,28.650000000000034,40.25,1825.0,23.8,127.0,No Failure,2022-01-11 23:20:00,No Failure,6,390,222,132
M,29.75,38.85000000000002,1638.0,35.4,116.0,No Failure,2022-01-05 20:26:00,No Failure,4,388,220,130
M,29.75,38.950000000000045,1605.0,40.0,179.0,No Failure,2022-01-05 21:10:00,No Failure,2,386,218,128
M,24.55000000000001,35.650000000000034,1258.0,69.0,105.0,Power Failure,2022-01-02 13:28:00,Power Failure,330,384,216,126
M,26.650000000000034,37.85000000000002,1295.0,52.7,74.0,No Failure,2022-01-12 13:02:00,No Failure,328,382,214,124
M,30.150000000000034,39.450000000000045,1608.0,39.9,136.0,No Failure,2022-01-06 02:12:00,No Failure,326,380,212,122
M,28.55000000000001,38.85000000000002,1378.0,51.6,130.0,No Failure,2022-01-10 16:30:00,No Failure,324,378,210,120
L,30.75,40.25,1424.0,49.5,155.0,No Failure,2022-01-08 14:10:00,No Failure,322,376,208,118
L,27.05000000000001,36.650000000000034,1405.0,51.4,183.0,No Failure,2022-01-04 05:16:00,No Failure,320,374,206,116
L,27.650000000000034,37.25,1630.0,32.4,53.0,No Failure,2022-01-04 00:50:00,No Failure,318,372,204,114
H,30.350000000000023,38.950000000000045,1850.0,23.3,203.0,No Failure,2022-01-06 05:50:00,No Failure,316,370,202,112
M,26.950000000000045,36.75,1476.0,42.7,225.0,No Failure,2022-01-04 11:22:00,No Failure,314,368,200,110
M,27.350000000000023,36.650000000000034,1886.0,20.9,117.0,No Failure,2022-01-04 04:22:00,No Failure,312,366,198,108
L,28.55000000000001,38.650000000000034,1689.0,28.9,100.0,No Failure,2022-01-09 06:20:00,No Failure,310,364,196,106
M,23.55000000000001,34.05000000000001,1423.0,42.5,121.0,No Failure,2022-01-02 05:46:00,No Failure,308,362,194,104
L,28.150000000000034,38.450000000000045,1433.0,53.8,86.0,No Failure,2022-01-11 02:58:00,No Failure,306,360,192,102
L,25.450000000000045,36.450000000000045,1383.0,47.5,75.0,No Failure,2022-01-13 00:00:00,No Failure,304,358,190,100
L,30.05000000000001,38.950000000000045,1447.0,52.1,174.0,No Failure,2022-01-06 13:42:00,No Failure,302,356,188,98
L,28.55000000000001,37.35000000000002,1692.0,30.3,64.0,No Failure,2022-01-05 02:48:00,No Failure,300,354,186,96
L,29.850000000000023,38.950000000000045,1635.0,36.0,23.0,No Failure,2022-01-05 21:56:00,No Failure,298,352,184,94
L,29.350000000000023,38.35000000000002,1611.0,33.8,144.0,No Failure,2022-01-05 17:58:00,No Failure,296,350,182,92
M,30.25,39.650000000000034,1557.0,31.5,49.0,No Failure,2022-01-08 18:12:00,No Failure,294,348,180,90
L,27.450000000000045,38.950000000000045,1521.0,37.2,131.0,No Failure,2022-01-14 06:16:00,No Failure,292,346,178,88
M,27.75,38.35000000000002,1576.0,39.4,183.0,No Failure,2022-01-11 04:14:00,No Failure,290,344,176,86
M,31.75,41.05000000000001,1570.0,40.7,74.0,No Failure,2022-01-08 01:40:00,No Failure,288,342,174,84
H,26.350000000000023,36.75,1500.0,40.3,207.0,No Failure,2022-01-13 23:14:00,No Failure,286,340,172,82
L,27.05000000000001,36.35000000000002,1381.0,60.6,59.0,No Failure,2022-01-04 03:32:00,No Failure,284,338,170,80
L,26.25,37.05000000000001,1345.0,52.7,196.0,No Failure,2022-01-14 15:32:00,No Failure,282,336,168,78
L,25.850000000000023,35.950000000000045,1454.0,37.1,35.0,No Failure,2022-01-01 08:50:00,No Failure,280,334,166,76
L,25.350000000000023,36.450000000000045,1793.0,26.7,70.0,No Failure,2022-01-01 14:50:00,No Failure,278,332,164,74
L,25.950000000000045,35.35000000000002,1684.0,33.1,200.0,No Failure,2022-01-03 10:40:00,No Failure,276,330,162,72
L,28.350000000000023,39.25,1611.0,32.7,44.0,No Failure,2022-01-11 13:42:00,No Failure,274,328,160,70
M,28.850000000000023,38.75,1765.0,24.2,179.0,No Failure,2022-01-09 13:08:00,No Failure,272,326,158,68
M,29.450000000000045,38.75,1575.0,40.1,139.0,No Failure,2022-01-10 08:28:00,No Failure,270,324,156,66
M,27.25,36.950000000000045,1352.0,44.7,172.0,No Failure,2022-01-04 13:44:00,No Failure,268,322,154,64
L,26.650000000000034,35.950000000000045,1472.0,53.5,28.0,No Failure,2022-01-04 08:50:00,No Failure,266,320,152,62
M,28.950000000000045,38.35000000000002,1603.0,32.6,121.0,No Failure,2022-01-09 18:10:00,No Failure,264,318,150,60
L,26.950000000000045,38.05000000000001,1695.0,29.6,8.0,No Failure,2022-01-14 10:28:00,No Failure,262,316,148,58
M,31.650000000000034,40.55000000000001,1555.0,33.4,128.0,No Failure,2022-01-07 20:58:00,No Failure,260,314,146,56
M,28.25,39.150000000000034,1350.0,56.5,31.0,No Failure,2022-01-11 13:32:00,No Failure,258,312,144,54
M,25.150000000000034,36.150000000000034,1544.0,41.7,6.0,No Failure,2022-01-13 09:46:00,No Failure,256,310,142,52
L,28.75,38.55000000000001,1427.0,44.1,141.0,No Failure,2022-01-10 11:10:00,No Failure,254,308,140,50
H,26.25,36.55000000000001,1344.0,52.9,130.0,No Failure,2022-01-01 07:04:00,No Failure,252,306,138,48
M,30.55000000000001,39.450000000000045,1501.0,38.8,171.0,No Failure,2022-01-06 10:58:00,No Failure,250,304,136,46
M,28.05000000000001,37.650000000000034,1466.0,45.7,41.0,No Failure,2022-01-09 19:56:00,No Failure,248,302,134,44
L,29.850000000000023,38.650000000000034,1447.0,42.7,229.0,No Failure,2022-01-06 14:22:00,No Failure,246,300,132,42
M,28.05000000000001,37.25,1329.0,53.6,186.0,No Failure,2022-01-05 09:56:00,No Failure,244,298,130,40
L,25.25,36.450000000000045,1524.0,43.1,73.0,No Failure,2022-01-13 05:24:00,No Failure,242,296,128,38
L,27.25,36.950000000000045,1670.0,35.9,68.0,No Failure,2022-01-04 15:14:00,No Failure,240,294,126,36
H,28.25,38.55000000000001,1656.0,36.3,127.0,No Failure,2022-01-09 06:46:00,No Failure,238,292,124,34
L,29.350000000000023,38.450000000000045,1525.0,41.9,204.0,No Failure,2022-01-05 15:58:00,No Failure,236,290,122,32
H,30.05000000000001,39.650000000000034,1330.0,62.4,31.0,No Failure,2022-01-08 23:38:00,No Failure,234,288,120,30
L,26.05000000000001,36.05000000000001,1446.0,38.2,61.0,No Failure,2022-01-01 06:10:00,No Failure,232,286,118,28
L,25.850000000000023,35.450000000000045,1654.0,28.9,123.0,No Failure,2022-01-03 12:14:00,No Failure,230,284,116,26
L,26.450000000000045,37.75,1593.0,37.4,47.0,No Failure,2022-01-02 21:12:00,No Failure,228,282,114,24
L,29.150000000000034,38.450000000000045,1529.0,41.8,176.0,No Failure,2022-01-05 15:34:00,No Failure,226,280,112,22
L,28.350000000000023,37.55000000000001,1589.0,30.5,198.0,No Failure,2022-01-05 04:30:00,No Failure,224,278,110,20
L,26.150000000000034,37.55000000000001,1484.0,44.3,173.0,No Failure,2022-01-12 19:40:00,No Failure,222,276,108,18
L,30.75,40.25,2030.0,19.1,192.0,No Failure,2022-01-08 11:14:00,No Failure,220,274,106,16
L,28.25,37.55000000000001,1584.0,32.6,71.0,No Failure,2022-01-04 21:04:00,No Failure,218,272,104,14
L,31.650000000000034,40.35000000000002,1619.0,30.9,142.0,No Failure,2022-01-07 18:28:00,No Failure,216,270,102,12
M,30.850000000000023,39.05000000000001,1592.0,38.9,188.0,No Failure,2022-01-07 10:14:00,No Failure,214,268,100,10
L,31.650000000000034,40.75,1442.0,48.3,52.0,No Failure,2022-01-07 22:54:00,No Failure,212,266,98,8
L,27.950000000000045,38.35000000000002,1500.0,39.8,107.0,No Failure,2022-01-11 03:14:00,No Failure,210,264,96,6
L,24.950000000000045,36.35000000000002,1483.0,46.9,203.0,No Failure,2022-01-13 01:36:00,No Failure,208,262,94,4
L,27.850000000000023,39.25,1487.0,41.2,22.0,No Failure,2022-01-11 07:52:00,No Failure,206,260,92,2
L,30.25,38.55000000000001,1362.0,54.8,155.0,Heat Dissipation Failure,2022-01-06 19:24:00,Heat Dissipation Failure,204,258,90,98
M,26.950000000000045,36.05000000000001,1435.0,45.2,45.0,No Failure,2022-01-04 03:22:00,No Failure,202,256,88,96
L,28.650000000000034,40.35000000000002,1434.0,50.7,121.0,No Failure,2022-01-11 23:14:00,No Failure,200,254,86,94
L,30.350000000000023,38.25,1487.0,40.2,48.0,No Failure,2022-01-07 05:38:00,No Failure,198,252,84,92
L,26.55000000000001,37.950000000000045,1676.0,33.5,70.0,No Failure,2022-01-02 21:30:00,No Failure,196,250,82,90
M,26.350000000000023,37.05000000000001,1721.0,29.4,170.0,No Failure,2022-01-14 15:12:00,No Failure,194,248,80,88
M,28.25,37.55000000000001,1466.0,39.8,184.0,No Failure,2022-01-05 04:18:00,No Failure,192,246,78,86
L,31.950000000000045,40.85000000000002,1566.0,37.2,7.0,No Failure,2022-01-08 00:50:00,No Failure,190,244,76,84
L,28.25,38.950000000000045,1405.0,54.1,193.0,No Failure,2022-01-11 12:54:00,No Failure,188,242,74,82
M,25.950000000000045,36.55000000000001,1581.0,47.4,51.0,No Failure,2022-01-13 23:58:00,No Failure,186,240,72,80
L,28.350000000000023,38.25,1702.0,33.1,71.0,No Failure,2022-01-09 05:56:00,No Failure,184,238,70,78
L,29.650000000000034,38.150000000000034,1688.0,28.8,31.0,No Failure,2022-01-06 17:48:00,No Failure,182,236,68,76
L,29.150000000000034,38.450000000000045,1376.0,47.6,45.0,No Failure,2022-01-05 16:42:00,No Failure,180,234,66,74
L,29.05000000000001,38.85000000000002,1596.0,37.2,219.0,No Failure,2022-01-09 02:08:00,No Failure,178,232,64,72
L,30.150000000000034,39.650000000000034,1281.0,51.7,61.0,No Failure,2022-01-08 21:14:00,No Failure,176,230,62,70
M,28.450000000000045,39.55000000000001,1424.0,50.8,182.0,No Failure,2022-01-11 15:32:00,No Failure,174,228,60,68
M,27.950000000000045,37.05000000000001,1438.0,51.0,211.0,No Failure,2022-01-05 10:16:00,No Failure,172,226,58,66
L,31.450000000000045,40.85000000000002,1617.0,30.9,122.0,No Failure,2022-01-08 07:48:00,No Failure,170,224,56,64
H,26.25,35.75,1948.0,21.4,136.0,No Failure,2022-01-03 09:56:00,No Failure,168,222,54,62
L,29.25,38.55000000000001,1436.0,54.1,90.0,No Failure,2022-01-10 01:58:00,No Failure,166,220,52,60
H,26.55000000000001,36.25,1560.0,33.3,53.0,No Failure,2022-01-03 19:20:00,No Failure,164,218,50,58
M,31.650000000000034,40.35000000000002,1448.0,44.3,195.0,No Failure,2022-01-07 19:06:00,No Failure,162,216,48,56
L,29.75,37.55000000000001,1424.0,42.8,140.0,No Failure,2022-01-07 01:04:00,No Failure,160,214,46,54
M,26.850000000000023,38.150000000000034,1558.0,35.4,223.0,No Failure,2022-01-02 20:26:00,No Failure,158,212,44,52
M,28.450000000000045,37.35000000000002,1492.0,34.0,144.0,No Failure,2022-01-05 01:16:00,No Failure,156,210,42,50
L,28.150000000000034,37.05000000000001,1650.0,35.2,196.0,No Failure,2022-01-04 22:48:00,No Failure,154,208,40,48
M,28.450000000000045,37.85000000000002,1486.0,41.2,127.0,No Failure,2022-01-10 21:54:00,No Failure,152,206,38,46
L,29.150000000000034,38.25,1384.0,50.1,88.0,No Failure,2022-01-05 14:18:00,No Failure,150,204,36,44
H,30.150000000000034,38.950000000000045,1543.0,37.5,73.0,No Failure,2022-01-06 04:10:00,No Failure,148,202,34,42
L,31.75,41.05000000000001,1345.0,48.2,77.0,No Failure,2022-01-08 01:42:00,No Failure,146,200,32,40
M,30.150000000000034,37.950000000000045,1563.0,37.8,31.0,No Failure,2022-01-07 02:36:00,No Failure,144,198,30,38
H,25.450000000000045,36.85000000000002,1354.0,55.6,46.0,No Failure,2022-01-01 22:58:00,No Failure,142,196,28,36
M,28.350000000000023,39.55000000000001,1269.0,64.0,87.0,No Failure,2022-01-11 14:18:00,No Failure,140,194,26,34
M,28.150000000000034,37.450000000000045,1398.0,53.7,82.0,No Failure,2022-01-04 21:14:00,No Failure,138,192,24,32
H,27.55000000000001,37.35000000000002,1375.0,46.8,86.0,No Failure,2022-01-04 15:28:00,No Failure,136,190,22,30
L,25.350000000000023,36.55000000000001,1453.0,37.6,112.0,No Failure,2022-01-01 23:44:00,No Failure,134,188,20,28
M,25.05000000000001,36.35000000000002,1425.0,45.8,109.0,No Failure,2022-01-13 05:52:00,No Failure,132,186,18,26
L,30.55000000000001,40.05000000000001,1376.0,52.8,164.0,No Failure,2022-01-08 19:44:00,No Failure,130,184,16,24
M,29.650000000000034,38.450000000000045,1552.0,35.9,97.0,No Failure,2022-01-05 22:58:00,No Failure,128,182,14,22
L,30.25,39.650000000000034,1255.0,59.0,138.0,No Failure,2022-01-08 16:46:00,No Failure,126,180,12,20
L,25.25,36.35000000000002,1569.0,34.2,72.0,No Failure,2022-01-13 16:10:00,No Failure,124,178,10,18
L,30.150000000000034,39.25,1845.0,21.9,27.0,No Failure,2022-01-08 20:50:00,No Failure,122,176,8,16
L,28.650000000000034,39.55000000000001,1753.0,29.0,8.0,No Failure,2022-01-12 00:46:00,No Failure,120,174,6,14
L,28.55000000000001,39.650000000000034,1564.0,36.8,11.0,No Failure,2022-01-12 03:48:00,No Failure,118,172,4,12
M,26.650000000000034,37.650000000000034,1551.0,36.6,15.0,No Failure,2022-01-12 14:50:00,No Failure,116,170,2,10
L,26.75,37.650000000000034,1287.0,61.9,216.0,Overstrain Failure,2022-01-14 09:58:00,Overstrain Failure,114,168,90,8
L,27.150000000000034,36.950000000000045,1531.0,37.9,127.0,No Failure,2022-01-04 13:08:00,No Failure,112,166,88,6
L,28.55000000000001,38.85000000000002,1318.0,48.2,128.0,No Failure,2022-01-10 16:28:00,No Failure,110,164,86,4
L,31.05000000000001,40.25,1663.0,33.7,71.0,No Failure,2022-01-08 09:52:00,No Failure,108,162,84,2
L,29.850000000000023,38.450000000000045,1361.0,46.7,182.0,No Failure,2022-01-06 17:00:00,Heat Dissipation Failure,106,160,82,674
M,30.450000000000045,39.25,1757.0,29.5,151.0,No Failure,2022-01-06 10:44:00,No Failure,104,158,80,672
L,29.650000000000034,38.55000000000001,1644.0,33.4,68.0,No Failure,2022-01-05 19:50:00,No Failure,102,156,78,670
M,25.75,35.650000000000034,1450.0,43.5,106.0,No Failure,2022-01-03 06:38:00,No Failure,100,154,76,668
M,25.150000000000034,35.950000000000045,1369.0,52.0,214.0,No Failure,2022-01-13 12:34:00,No Failure,98,152,74,666
L,25.850000000000023,35.450000000000045,1548.0,45.8,111.0,No Failure,2022-01-03 14:42:00,No Failure,96,150,72,664
M,30.350000000000023,39.35000000000002,1358.0,52.7,139.0,No Failure,2022-01-06 10:36:00,No Failure,94,148,70,662
L,27.75,38.05000000000001,1479.0,46.3,173.0,No Failure,2022-01-11 04:06:00,No Failure,92,146,68,660
H,26.05000000000001,36.25,1398.0,51.8,76.0,No Failure,2022-01-01 06:24:00,No Failure,90,144,66,658
L,25.25,35.75,1606.0,33.4,176.0,No Failure,2022-01-12 22:22:00,No Failure,88,142,64,656
L,26.650000000000034,36.75,1852.0,25.0,57.0,No Failure,2022-01-01 03:20:00,No Failure,86,140,62,654
L,24.150000000000034,34.950000000000045,1419.0,48.6,142.0,No Failure,2022-01-02 08:48:00,No Failure,84,138,60,652
L,30.25,39.650000000000034,1493.0,38.4,132.0,No Failure,2022-01-08 16:40:00,No Failure,82,136,58,650
L,25.25,36.25,1573.0,34.5,205.0,No Failure,2022-01-01 13:46:00,No Failure,80,134,56,648
M,28.75,38.55000000000001,1362.0,51.6,212.0,No Failure,2022-01-09 13:34:00,No Failure,78,132,54,646
L,30.25,37.950000000000045,1426.0,46.8,95.0,No Failure,2022-01-07 06:10:00,No Failure,76,130,52,644
M,30.150000000000034,39.55000000000001,1486.0,39.6,147.0,No Failure,2022-01-06 02:22:00,No Failure,74,128,50,642
L,24.650000000000034,35.85000000000002,1675.0,29.7,46.0,No Failure,2022-01-02 02:02:00,No Failure,72,126,48,640
M,30.05000000000001,38.35000000000002,1507.0,40.4,111.0,No Failure,2022-01-06 18:50:00,No Failure,70,124,46,638
L,28.75,39.85000000000002,1533.0,44.0,162.0,No Failure,2022-01-12 02:48:00,No Failure,68,122,44,636
L,28.55000000000001,39.75,1486.0,35.8,32.0,No Failure,2022-01-12 04:06:00,No Failure,66,120,42,634
L,26.25,36.450000000000045,1477.0,44.0,124.0,No Failure,2022-01-01 06:58:00,No Failure,64,118,40,632
M,26.150000000000034,36.950000000000045,1404.0,47.0,15.0,No Failure,2022-01-13 20:44:00,No Failure,62,116,38,630
H,28.650000000000034,39.05000000000001,1612.0,32.5,143.0,No Failure,2022-01-10 16:42:00,No Failure,60,114,36,628
L,29.350000000000023,38.35000000000002,1644.0,34.9,186.0,No Failure,2022-01-10 03:12:00,No Failure,58,112,34,626
L,24.450000000000045,35.25,1521.0,38.6,173.0,No Failure,2022-01-02 03:44:00,No Failure,56,110,32,624
M,28.950000000000045,40.150000000000034,1852.0,25.9,131.0,No Failure,2022-01-12 02:24:00,No Failure,54,108,30,622
L,25.450000000000045,36.450000000000045,1526.0,42.1,57.0,No Failure,2022-01-13 15:56:00,No Failure,52,106,28,620
M,27.650000000000034,38.85000000000002,1948.0,20.0,185.0,No Failure,2022-01-14 06:58:00,No Failure,50,104,26,618
M,26.650000000000034,36.35000000000002,1510.0,38.7,66.0,No Failure,2022-01-04 12:22:00,No Failure,48,102,24,616
M,29.25,38.55000000000001,1692.0,32.3,5.0,No Failure,2022-01-05 16:12:00,No Failure,46,100,22,614
M,28.05000000000001,37.450000000000045,1528.0,35.1,44.0,No Failure,2022-01-04 20:46:00,No Failure,44,98,20,612
L,28.850000000000023,38.55000000000001,1300.0,57.2,174.0,No Failure,2022-01-09 04:36:00,No Failure,42,96,18,610
L,29.75,38.650000000000034,1906.0,21.7,62.0,No Failure,2022-01-06 15:22:00,No Failure,40,94,16,608
L,25.950000000000045,36.55000000000001,1341.0,55.7,30.0,No Failure,2022-01-14 02:12:00,No Failure,38,92,14,606
M,27.450000000000045,38.950000000000045,1649.0,33.8,133.0,No Failure,2022-01-14 06:18:00,No Failure,36,90,12,604
L,26.150000000000034,36.85000000000002,1471.0,48.3,91.0,No Failure,2022-01-12 21:14:00,No Failure,34,88,10,602
L,28.05000000000001,39.55000000000001,1448.0,54.2,173.0,No Failure,2022-01-11 09:46:00,No Failure,32,86,8,600
M,28.05000000000001,39.450000000000045,1415.0,55.8,82.0,No Failure,2022-01-11 19:48:00,No Failure,30,84,6,598
L,27.650000000000034,38.650000000000034,1409.0,51.9,154.0,No Failure,2022-01-11 06:42:00,No Failure,28,82,4,596
M,27.350000000000023,37.150000000000034,1675.0,29.2,132.0,No Failure,2022-01-03 20:20:00,No Failure,26,80,2,594
L,29.850000000000023,39.05000000000001,1270.0,65.3,182.0,Overstrain Failure,2022-01-06 02:48:00,Overstrain Failure,24,78,26,592
L,26.350000000000023,36.25,1513.0,33.6,172.0,No Failure,2022-01-01 04:50:00,No Failure,22,76,24,590
L,28.650000000000034,38.650000000000034,1634.0,29.2,149.0,No Failure,2022-01-09 09:52:00,No Failure,20,74,22,588
M,28.450000000000045,37.75,1449.0,42.4,169.0,No Failure,2022-01-05 04:06:00,No Failure,18,72,20,586
M,26.05000000000001,36.75,1614.0,35.5,15.0,No Failure,2022-01-03 02:30:00,No Failure,16,70,18,584
L,29.650000000000034,38.450000000000045,1650.0,31.9,126.0,No Failure,2022-01-05 23:20:00,No Failure,14,68,16,582
L,28.55000000000001,39.650000000000034,1478.0,41.9,207.0,No Failure,2022-01-12 00:24:00,No Failure,12,66,14,580
L,26.950000000000045,36.150000000000034,1559.0,33.7,30.0,No Failure,2022-01-04 03:10:00,No Failure,10,64,12,578
